50000000,1,205
50000000,2,204
50000000,3,213
50000000,4,203
50000000,5,206
50000000,6,202
50000000,7,215
50000000,8,208
50000001,1,208
50000001,2,204
50000001,3,213
50000001,4,215
50000001,5,203
50000001,6,206
50000001,7,205
50000001,8,202
50000002,1,213
50000002,2,204
50000002,3,202
50000002,4,205
50000002,5,203
50000002,6,215
50000002,7,206
50000002,8,208
50000003,1,208
50000003,2,204
50000003,3,213
50000003,4,203
50000003,5,202
50000003,6,205
50000003,7,206
50000003,8,215
50000004,1,202
50000004,2,213
50000004,3,206
50000004,4,204
50000004,5,215
50000004,6,203
50000004,7,208
50000004,8,205
50000005,1,213
50000005,2,206
50000005,3,215
50000005,4,204
50000005,5,203
50000005,6,205
50000005,7,202
50000005,8,208
50000006,1,202
50000006,2,208
50000006,3,204
50000006,4,213
50000006,5,206
50000006,6,203
50000006,7,205
50000006,8,215
50000007,1,203
50000007,2,213
50000007,3,205
50000007,4,202
50000007,5,206
50000007,6,204
50000007,7,215
50000007,8,208
50000008,1,204
50000008,2,213
50000008,3,203
50000008,4,208
50000008,5,206
50000008,6,205
50000008,7,202
50000008,8,215
50000009,1,213
50000009,2,204
50000009,3,205
50000009,4,215
50000009,5,202
50000009,6,203
50000009,7,206
50000009,8,208
50000010,1,205
50000010,2,203
50000010,3,206
50000010,4,213
50000010,5,215
50000010,6,204
50000010,7,202
50000010,8,208
50000011,1,203
50000011,2,205
50000011,3,202
50000011,4,204
50000011,5,213
50000011,6,206
50000011,7,215
50000011,8,208
50000012,1,205
50000012,2,204
50000012,3,213
50000012,4,202
50000012,5,206
50000012,6,208
50000012,7,203
50000012,8,215
50000013,1,213
50000013,2,204
50000013,3,215
50000013,4,208
50000013,5,203
50000013,6,206
50000013,7,202
50000013,8,205
50000014,1,215
50000014,2,205
50000014,3,213
50000014,4,204
50000014,5,203
50000014,6,208
50000014,7,206
50000014,8,202
50000015,1,205
50000015,2,213
50000015,3,202
50000015,4,215
50000015,5,204
50000015,6,206
50000015,7,203
50000015,8,208
50000016,1,213
50000016,2,204
50000016,3,206
50000016,4,205
50000016,5,203
50000016,6,215
50000016,7,208
50000016,8,202
50000017,1,203
50000017,2,213
50000017,3,204
50000017,4,206
50000017,5,208
50000017,6,202
50000017,7,215
50000017,8,205
50000018,1,202
50000018,2,213
50000018,3,204
50000018,4,203
50000018,5,206
50000018,6,205
50000018,7,208
50000018,8,215
50000019,1,206
50000019,2,213
50000019,3,204
50000019,4,203
50000019,5,208
50000019,6,215
50000019,7,205
50000019,8,202
50000020,1,203
50000020,2,205
50000020,3,204
50000020,4,213
50000020,5,206
50000020,6,202
50000020,7,215
50000020,8,208
50000021,1,206
50000021,2,204
50000021,3,213
50000021,4,203
50000021,5,202
50000021,6,215
50000021,7,208
50000021,8,205
50000022,1,208
50000022,2,206
50000022,3,213
50000022,4,204
50000022,5,205
50000022,6,203
50000022,7,215
50000022,8,202
50000023,1,203
50000023,2,215
50000023,3,202
50000023,4,208
50000023,5,213
50000023,6,204
50000023,7,206
50000023,8,205
50000024,1,208
50000024,2,213
50000024,3,206
50000024,4,204
50000024,5,202
50000024,6,203
50000024,7,215
50000024,8,205
50000025,1,213
50000025,2,208
50000025,3,203
